id,phone,company_name,industry,annual_revenue,account_number_external_id,number_of_locations,number_of_employees,sla,sla_serial_number
367,715-443-9259,Lear Corporation,Auto Parts:O.E.M.,54583593,145bf47b-2aed-4750-a66f-808a526272c3,11,592,Bronze,111921751
368,821-308-7200,"Rudolph Technologies, Inc.",Industrial Machinery/Components,94128613,f7f04ffb-5636-4cbb-8f01-d3c8c32a28ef,9,980,Platinum,111101597
369,496-789-1302,"Telephone and Data Systems, Inc.",Telecommunications Equipment,64825488,21b78782-bfc5-4c0b-a030-bf986dc93509,8,902,Bronze,042104249
370,838-496-5316,Exxon Mobil Corporation,Integrated oil Companies,78438733,45dab172-b108-4797-860c-68a883847cbe,17,26,Gold,081010860
371,850-604-1478,Myovant Sciences Ltd.,Major Pharmaceuticals,82452395,4b62aa21-de6f-4c7f-a332-09ae8c502f7a,1,864,Silver,062102849
372,458-627-9620,"Jaguar Animal Health, Inc.",Major Pharmaceuticals,84710991,44ce3b8b-f3a9-4cc9-9202-c3ff6cefb625,16,489,Gold,083901210
373,865-798-6720,"Inter Parfums, Inc.",Package Goods/Cosmetics,80667530,ca949aab-6748-4c0e-a30b-e00386c8d03b,8,714,Silver,075906838
374,657-294-4722,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",Air Freight/Delivery Services,11773534,f4794e93-dc3c-4c9f-8827-f7583d5e2341,16,224,Gold,221471104
375,184-376-7718,"Condor Hospitality Trust, Inc.",Real Estate Investment Trusts,16070118,84428bda-b411-4914-92e9-87eff2d0572e,8,973,Silver,103103396
376,882-920-1843,Cincinnati Bell Inc,n/a,63495140,c2f0a64c-d0cc-445d-9a29-21cc0f0c4583,9,811,Bronze,071214579
377,976-295-2890,Macerich Company (The),Real Estate Investment Trusts,32534852,bb1d99b0-bd66-4553-ab9a-23c557a7fae5,20,605,Gold,062105338
378,269-901-0729,Pool Corporation,Industrial Specialties,17316235,83de5791-44b2-4bbf-b05e-773e74f100cd,13,951,Bronze,065200188
379,184-304-1858,BlackRock Strategic Municipal Trust Inc. (The),n/a,32482095,abaad76d-3414-41c7-9595-b66b286722d8,8,318,Bronze,111308633
380,628-320-4743,Arch Capital Group Ltd.,Property-Casualty Insurers,3568636,b1af971f-1d00-4cf2-b0c0-acf1a4306f33,12,167,Platinum,113024407
381,194-918-5039,Dynegy Inc.,n/a,35150046,cd988637-1a24-4ced-bbb7-6040c54120c3,3,309,Platinum,091901972
382,292-193-9290,DXC Technology Company,EDP Services,2123154,1029bdf1-95ad-48aa-8332-7184bb5ab9b9,15,849,Silver,111024483
383,382-568-1955,Primoris Services Corporation,Water Supply,10530336,8726500e-bc8d-4720-83de-902df135428e,18,149,Silver,062202736
384,232-493-4356,"Clearfield, Inc.",Telecommunications Equipment,37962460,345a44e6-c959-40e9-85b2-6e50bd69853a,16,819,Gold,071905613
385,358-754-4296,"Stock Yards Bancorp, Inc.",Major Banks,33521168,185724df-57d5-4fa1-94c0-08ef4d550972,12,598,Silver,071906573
386,857-204-5248,"Industrias Bachoco, S.A. de C.V.",Meat/Poultry/Fish,85171012,3cece43a-ca9e-4aab-b8cc-885fcade6b64,14,730,Platinum,081210314
387,919-426-6150,"Depomed, Inc.",Major Pharmaceuticals,35217912,fb3d7ac2-7d15-4cee-a4e3-fba543e747d0,16,620,Bronze,122241941
388,178-562-1175,"Photronics, Inc.",Semiconductors,77824256,68e9cbb3-06dd-4cb4-933d-ba5b02a3f7f6,6,628,Gold,063206663
389,353-140-3432,"Zillow Group, Inc.",Business Services,38824885,fd3f0888-4e69-4cce-a9d6-2b6bda4650ab,10,581,Silver,211174343
390,541-252-5378,Nuveen NASDAQ 100 Dynamic Overwrite Fund,n/a,2832148,3bb09962-bfad-4e4f-8689-f875fd2b3547,13,576,Silver,221370108
391,456-447-0663,Union Bankshares Corporation,Major Banks,40355823,c2924d94-cef2-40e3-9cfa-d76e5d6a99c3,13,113,Platinum,051504665
392,343-848-7803,"CBRE Group, Inc.",Real Estate,81780940,c4cb6889-b6ed-4179-8748-1e0d5cd7ff00,20,14,Silver,071100324
393,165-485-7588,"CBAK Energy Technology, Inc.",Industrial Machinery/Components,81859599,b082ba8b-1a03-4e51-9220-dcefea261e40,2,961,Platinum,122240696
394,709-636-4527,Nuveen Quality Preferred Income Fund 2,n/a,49850767,a33f3aca-0ab5-4300-80a1-bf86849c5ed2,4,691,Gold,082907736
395,333-389-0900,Lexington Realty Trust,n/a,26570024,0dda9ed6-2bef-4201-a649-8688bb8f479e,4,142,Platinum,226072647
396,469-354-0368,Umpqua Holdings Corporation,Savings Institutions,40067800,bb8ee897-00e4-46b6-8948-5f8fba6f2521,15,18,Silver,082901091
397,220-708-3487,"SmartFinancial, Inc.",Major Banks,68447366,e2124b09-898e-4898-bfd3-d3700ba7faa9,6,627,Bronze,071925237
398,533-422-6702,"LegacyTexas Financial Group, Inc.",Savings Institutions,25594426,4e346e24-2441-4114-bc7e-6b2d9786d814,14,62,Bronze,091216696
399,910-442-0361,Molina Healthcare Inc,Medical Specialities,47808463,f54b05f9-8c30-4559-a2b8-33446b0115bb,2,232,Silver,043314164
400,553-451-3473,"FireEye, Inc.",Computer peripheral equipment,55078215,2ce7b1ac-b4f8-4353-8194-a5fc35bd824a,7,845,Gold,055002286
401,691-202-2898,NICE Ltd,Computer Manufacturing,44416056,2f83a9d0-fb05-4479-8a1e-6f62691a84a0,18,814,Gold,122187335
402,328-290-9879,Vanguard Global ex-U.S. Real Estate ETF,n/a,97500245,112929cf-f5e2-43ee-92d4-23e31610639b,7,284,Silver,031302447
403,872-142-1728,"Ross Stores, Inc.",Clothing/Shoe/Accessory Stores,78455895,ec0c5321-232b-4e87-84eb-d21538ca0171,5,796,Gold,031302803
404,975-621-4534,Triangle Capital Corporation,n/a,95364898,5f85020a-964d-4dd7-8302-cc1b88366f94,10,532,Gold,091915890
405,739-359-2724,Pacific Drilling S.A.,Oil & Gas Production,14590033,9e0dd1ab-fd76-4699-859e-6f50ba555233,6,607,Gold,122105744
406,476-593-8086,"Gulf Resources, Inc.",Major Chemicals,32286821,8a083425-60b5-418f-8215-968895a098e3,13,200,Silver,266086554
407,657-632-5053,Stamps.com Inc.,Business Services,39401176,e21c09d2-813e-4ede-ac03-a2e0be24383e,15,205,Silver,065200874
408,392-502-2108,Liberty Broadband Corporation,Television Services,49760340,7bb058d9-d92c-47b1-b8f7-4730ac247cca,14,160,Platinum,102301513
409,659-757-6988,Kansas City Southern,Railroads,88629380,f9960c0c-0a18-4d5c-b144-a717ce4bbc43,16,384,Silver,253171430
410,666-204-2874,The GDL Fund,n/a,57931636,cdcaf6ee-b486-420f-860e-5584c3fead2c,9,255,Platinum,061220353
411,702-257-4438,"Hollysys Automation Technologies, Ltd.",Industrial Machinery/Components,13267510,be835bee-f183-4272-b078-75f4d7f4af90,1,273,Platinum,065304385
412,149-473-2048,Regal Entertainment Group,Movies/Entertainment,95482087,99524861-5dd6-4c2f-82fb-f88ea02f1c28,20,542,Bronze,071923284
413,913-882-1243,Bank of America Corporation,n/a,3914195,8154e495-8cd3-4edb-a313-70631e60cd7c,18,375,Gold,062104203
414,343-687-8388,National Storage Affiliates Trust,Real Estate Investment Trusts,18810806,4fe78b46-b386-4d5f-b88c-3ca7f10c7349,13,777,Silver,211179982
415,699-353-9855,3D Systems Corporation,Computer Software: Prepackaged Software,3055136,0c026905-9030-474a-8577-0477f94e1bae,4,947,Gold,073908731
416,867-328-5903,Salesforce.com Inc,Computer Software: Prepackaged Software,82787332,5c136136-277f-4a35-9130-17c6ff5f6710,3,600,Silver,063102259
417,721-670-0977,"Parke Bancorp, Inc.",Major Banks,92517595,8dcedddd-d77f-4b7b-8eac-26454a9787e3,9,757,Bronze,114994109
418,227-615-3836,"Instructure, Inc.",Computer Software: Prepackaged Software,66978852,3359b785-e368-4be1-935e-2c2736b2b389,1,556,Platinum,064205087
419,640-305-3787,"CBAK Energy Technology, Inc.",Industrial Machinery/Components,89081973,a6fffa79-c650-417f-bdca-0d5c9800887f,11,520,Platinum,082900380
420,608-420-8216,"Sinovac Biotech, Ltd.",Major Pharmaceuticals,38473587,f352b69a-d906-44b6-b264-eab3072fd6f9,1,60,Gold,065500752
421,448-693-3848,Comcast Corporation,Television Services,26812922,f12e24f3-fbe4-48da-8de5-cddb0fd5d0f9,10,509,Gold,122217056
422,313-202-8308,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,n/a,30605818,4fbecdf2-fcf8-4a28-ae80-c1e74179c88f,5,163,Bronze,124103773
423,929-289-8663,TiVo Corporation,Multi-Sector Companies,50307179,5eb34b51-1689-407a-b889-d6d3ff3afeab,6,395,Gold,123205054
424,369-434-1512,Gabelli Global Small and Mid Cap Value Trust (The),n/a,66446907,fa7a5119-66a4-4cb9-bd00-bd3d2f5d2ab6,10,679,Silver,074905225
425,308-507-7785,Jabil Inc.,Electrical Products,56067630,c094c79f-7456-4011-984d-475d54763c6f,7,326,Bronze,062000116
426,335-714-1225,First Trust Germany AlphaDEX Fund,n/a,33951139,d3999c4e-a190-4041-8fc5-0efd4b50dc0b,20,503,Silver,083905326
427,788-234-8120,DoubleLine Income Solutions Fund,n/a,68263891,429642d4-178b-4345-adc5-7f98b761a836,2,165,Gold,062103453
428,854-880-6804,Tuttle Tactical Management Multi-Strategy Income ETF,n/a,74665547,9a521a74-b358-4bba-a4c4-fdab3319ac6b,6,666,Gold,122242843
429,368-640-7560,"TSR, Inc.",EDP Services,18437854,f7c657bc-8915-43fa-b81d-bde7961479b0,2,988,Platinum,061113017
430,582-815-1884,West Bancorporation,Major Banks,96085836,696bb98a-9ac8-4bfa-9c75-339b5c6a5c24,12,849,Silver,111322965
431,946-807-7153,Capstone Turbine Corporation,Industrial Machinery/Components,83819124,0a402b6e-e9e0-470a-9f45-f00f474dea11,7,63,Bronze,083901650
432,133-305-5542,Royal Bank Scotland plc (The),Commercial Banks,36980402,c596ebe0-d8cf-4c95-a97e-dab7d8453e81,14,878,Platinum,111311840
433,504-529-6175,"American Eagle Outfitters, Inc.",Clothing/Shoe/Accessory Stores,43104221,9cc81d9d-ec19-4189-91b9-7f9b6dd72fc6,9,46,Bronze,226070270
434,896-120-4673,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",n/a,68295761,80ab8ab2-25f7-4e6b-bc54-e64a747d640c,18,377,Bronze,074912988
435,388-556-9334,Chemed Corp.,Medical/Nursing Services,34960714,692b69bf-811a-45c4-b3cc-185c3faa8510,17,790,Silver,031317380
436,419-318-2408,"Xcel Brands, Inc",Multi-Sector Companies,11732565,15f5bd41-e0d0-4189-9c72-1aa8f10c4e9f,6,25,Platinum,083912393
437,319-303-7270,TransAlta Corporation,Electric Utilities: Central,47187614,92af2c15-0e52-476b-879e-1eca6f6b9d99,19,658,Platinum,322270262
438,884-492-5324,"Communications Systems, Inc.",Telecommunications Equipment,63811661,1e4558d6-da48-4cfb-8988-02cc266bd163,5,776,Platinum,072405455
439,730-790-8282,Center Coast MLP & Infrastructure Fund,n/a,90011910,e3a4ea20-611a-4250-8959-8a660f0cd9dd,16,391,Platinum,211170101
440,809-471-8022,"Codorus Valley Bancorp, Inc",Savings Institutions,92786896,b40c6382-95c4-410d-afae-73b575603a86,4,297,Platinum,082901897
441,521-201-3795,TriMas Corporation,Industrial Specialties,90872032,56e13a24-df26-41b3-8a2b-61f1e93cbc75,9,716,Platinum,123204110
442,471-198-6629,Pacific Premier Bancorp Inc,Major Banks,82149598,4d0431a0-5867-4faf-9d2c-b03c3c8f566e,11,614,Silver,073000545
443,348-782-8134,First Trust High Income Long Short Fund,n/a,60863778,32dbf617-a64f-490c-a965-c1910a09733d,9,600,Bronze,102104600
444,410-563-4402,Splunk Inc.,Computer Software: Prepackaged Software,25330514,0471f843-818b-49cb-b301-a2ab416aa859,18,659,Silver,091901684
445,805-579-6021,"Prudential Financial, Inc.",Life Insurance,74853945,65129f2c-e219-4f6b-b68f-b21f47ce6389,9,173,Bronze,021407912
446,656-433-1901,"RLJ Entertainment, Inc.",Movies/Entertainment,3030923,77cb6123-f48f-4c99-95b2-6284664ab3c8,5,476,Platinum,113116218
447,433-215-2897,iStar Financial Inc.,n/a,98455122,cba51954-2b50-4e21-b284-05999fad16b8,2,429,Platinum,065405132
448,805-754-0199,Gladstone Commercial Corporation,Real Estate,29153062,1a32cb5c-52e0-4f1e-b4b3-617784753d07,4,703,Platinum,075906702
449,536-935-8179,Magic Software Enterprises Ltd.,Computer Software: Prepackaged Software,1132524,075e761f-f967-42f8-95f7-8127816ebec6,20,322,Bronze,271974059
450,877-125-3449,Lannett Co Inc,Major Pharmaceuticals,34485452,e0fd2c00-32ec-4421-8a74-0073a86dd189,11,290,Silver,091207537
451,108-909-4794,"The Michaels Companies, Inc.",Recreational Products/Toys,14264681,8655bef3-df2a-412b-af2a-13ad8d98cc44,12,999,Gold,111320006
452,191-669-1933,OvaScience Inc.,Major Pharmaceuticals,90421187,cee69dad-67a8-47ae-be1c-ac6b94979105,13,72,Gold,121200158
453,545-468-2686,"Summit Hotel Properties, Inc.",n/a,42239516,b386e167-0c79-43ae-8e1b-4cfd165509a5,18,659,Gold,022000839
454,936-566-0499,"Inspired Entertainment, Inc.",Computer Software: Prepackaged Software,22220505,db8344f6-012e-457a-bda3-7ababfd35b0a,9,240,Silver,055000372
455,913-286-4090,"Magyar Bancorp, Inc.",Savings Institutions,11727748,65cc0fff-0a84-49e9-8d3f-b554ac0e9614,16,905,Gold,063113057
456,728-165-8460,DDR Corp.,n/a,74494382,e1e2f573-661e-4c01-b276-b8e17b111bd5,11,618,Silver,021300556
457,264-485-3946,First Trust Intermediate Duration Preferred & Income Fund,n/a,80497492,f41542c4-fb18-4dad-85ed-cd34e89387f5,9,288,Platinum,253176215
458,488-307-9684,VCA Inc. ,Farming/Seeds/Milling,11674451,8b9926e3-e0bf-4673-9f65-6c67f42ac15c,9,22,Gold,125200879
459,444-894-2317,Echelon Corporation,Computer Communications Equipment,40710705,4ebe8c9d-740e-4dc2-9ec7-189a531cb721,14,929,Platinum,091501767
460,701-448-5498,Eaton Vance Enhanced Equity Income Fund II,n/a,10811651,da3d5eb5-a5ad-4482-8989-d73599628553,5,397,Silver,091905648
461,724-677-7124,"BancorpSouth, Inc.",Major Banks,38457844,e1dd3a26-34a3-42d0-a53f-28525178802a,18,224,Silver,101101581
462,915-792-2746,Kate Spade & Company,Apparel,29983698,109f465d-9154-468b-a2c6-7ad199e00d6e,16,172,Gold,253177476
463,214-407-7641,"Calavo Growers, Inc.",Farming/Seeds/Milling,20180657,656ab7ab-61fd-43de-83c2-295f40d98586,7,444,Bronze,073921718
464,792-337-9333,Matlin & Partners Acquisition Corporation,Business Services,3450655,112cb791-64cd-4d82-90c8-9a69af04ec07,5,594,Bronze,055000259
465,806-235-7015,"Inogen, Inc",Industrial Specialties,6998800,2d773367-c665-4f0b-906e-63af50e52a20,12,850,Platinum,111312739
466,930-880-4876,Hovnanian Enterprises Inc,Homebuilding,47741475,10902deb-9513-47e1-9af0-2e8e5f16d509,3,97,Bronze,103112358
467,305-417-2666,Duke Energy Corporation,Power Generation,77951994,6e7ce755-3cac-4735-a66b-3eaeca1e3905,3,998,Platinum,063111596
468,920-597-0910,Colonial Investment Grade Municipal Trust,n/a,71698494,36e26eb5-fbbd-450d-9449-6141eb36f9e8,16,780,Silver,111913798
469,752-428-6181,"Catabasis Pharmaceuticals, Inc.",Major Pharmaceuticals,89283237,ec920fe4-bebc-497e-b3f2-2b70eada2773,2,451,Silver,084304243
470,921-558-3718,BHP Billiton plc,Coal Mining,81678451,0a9e37a8-0710-4a08-a9a6-4c4243bf3932,1,465,Bronze,122105249
471,755-369-4917,Ellington Financial LLC,Real Estate,43685554,8e5bdd11-469b-4ba0-8fa3-fac628c2c59c,9,124,Gold,101102658
472,724-848-7363,KB Financial Group Inc,Commercial Banks,28267259,641852e3-ade0-477d-887a-1904c3f86859,15,4,Bronze,027000407
473,815-588-2427,BlackBerry Limited,Telecommunications Equipment,14776263,5c1dd187-892a-4b86-99e4-9af9c1935c37,10,478,Gold,041002203
474,744-468-3594,Minerals Technologies Inc.,Major Chemicals,50867517,5f60f0e1-203a-4d26-90c6-1e9729aabb0b,18,901,Platinum,091803818
475,720-551-7601,"LendingTree, Inc.",Finance: Consumer Services,21108444,3af22453-0159-4438-b6d3-83f7e0583384,14,132,Bronze,071908827
476,478-363-8845,TechnipFMC plc,Metal Fabrications,19436918,f9caaae7-2283-4e89-8f1b-ff7560ca8f06,17,633,Platinum,074905173
477,564-715-7676,First Trust TCW Opportunistic Fixed Income ETF,n/a,54789315,7470b22e-a68c-4f87-9318-ac3f53d9219f,19,372,Gold,053185406
478,563-349-2506,Drive Shack Inc.,n/a,9216475,a0b27edf-6bd6-400f-a887-d633b55a5dfc,8,730,Platinum,101105341
479,679-690-4115,Abercrombie & Fitch Company,Clothing/Shoe/Accessory Stores,18368691,fcbbb90d-0f0b-4953-8924-10706d9bc739,1,792,Gold,061203325
480,380-384-7059,Scana Corporation,Power Generation,78189682,d9493295-a011-47b5-b99a-6c09d886f0e5,12,722,Bronze,021201503
481,133-124-4321,"Plains All American Pipeline, L.P.",Natural Gas Distribution,8534125,668f29e5-467f-4bb4-9dee-ccdc774efc8e,2,300,Platinum,123000068
482,833-880-0187,"ONE Gas, Inc.",Oil/Gas Transmission,35420041,afb129a2-fa1f-4c74-b286-a0b2645fd2a9,12,627,Bronze,061203642
483,352-217-0198,Northrim BanCorp Inc,Savings Institutions,71337898,26e79ba8-1031-4cfb-96f8-11d26a04720a,11,242,Gold,321170538
484,673-651-2899,Tejon Ranch Co,Real Estate,32577113,5f664db4-6647-47be-80c9-bd55a7751d86,16,592,Gold,112025342
485,273-412-5582,"Watsco, Inc.",n/a,54602272,450261fd-1c35-40af-b51d-d61f78a1dc69,4,127,Silver,101014953
486,568-146-7689,RAIT Financial Trust,Real Estate Investment Trusts,39885796,7fcb62e0-b084-4a01-bb4c-70b33f3ac5d4,16,517,Silver,104905250
487,311-501-0266,Wells Fargo & Company,n/a,14726287,cb84f166-349a-4e8f-a0fd-a96d7be3d278,15,327,Platinum,211470319
488,129-360-2446,Prudential Public Limited Company,Life Insurance,44960146,fd2a7c1e-3b03-419d-b9a1-c4ad3a7142d7,8,937,Bronze,057000668
489,239-783-8768,"Apricus Biosciences, Inc.",Major Pharmaceuticals,40819624,06f747ad-caf2-4b89-809f-977a7d04d4da,19,942,Bronze,021410695
490,611-707-5541,"SunTrust Banks, Inc.",n/a,65360411,ecb9f465-ad53-4904-b68c-decaef54ed88,20,195,Silver,061103548
491,722-212-1678,PowerShares Global Gold & Precious Metals Portfolio,n/a,91530905,254ac055-3214-4a0d-a4b5-b8d858c1ea43,10,963,Platinum,112201959
492,356-382-8494,Dynasil Corporation of America,Industrial Machinery/Components,26473620,f17d8baa-0eb5-49fb-b015-939612d0a9ce,10,852,Platinum,053112136
493,506-859-7365,"ZAIS Group Holdings, Inc.",Investment Managers,46821284,589a0c1b-ef9a-4204-abe7-1cf6e0f91ba2,2,464,Platinum,053012029
494,244-455-2164,HomeTown Bankshares Corporation,Major Banks,1075759,5195a381-f372-4331-bc1e-5ff4da47f3a7,4,537,Platinum,061300367
495,950-439-7168,Acco Brands Corporation,Publishing,28660176,9245ccc4-0428-4c05-a985-2e22efec5bf8,8,231,Bronze,082901897
496,325-676-2975,"Digital Turbine, Inc.",Multi-Sector Companies,81419933,add854aa-54ff-4f14-b52f-722cd38a6d3c,3,898,Gold,107004381
497,433-512-7688,MFS Intermediate Income Trust,n/a,51358747,464f7839-f66e-4b0c-a162-a0e90833000f,17,158,Gold,111304404
498,614-913-7667,"Amyris, Inc.",Major Chemicals,89443469,6a724c2c-2579-4897-a89c-21e5e26d1b97,8,907,Silver,071112354
499,918-287-7778,"MDU Resources Group, Inc.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),68821148,808224e8-4277-41ce-9eea-f79e661f4d3b,10,358,Silver,065300211
500,660-953-6025,"Holly Energy Partners, L.P.",Natural Gas Distribution,92688121,fcbdfe5e-8a10-42f3-9d9d-56eb2cb298d5,11,189,Gold,102104888
501,802-383-5485,"EV Energy Partners, L.P.",Oil & Gas Production,94999138,3af57e06-4725-4a86-b83f-3179481c780d,8,107,Gold,103102229
502,238-764-2952,Sanofi,Major Pharmaceuticals,69091565,ebf73a46-e7cb-409a-baa7-7646b2fb8a06,6,975,Gold,051405324
503,343-605-9951,Cubic Corporation,Industrial Machinery/Components,2875279,e1c280fc-2312-4f4c-a30f-efdd88af2485,2,773,Gold,031300575
504,411-257-2385,"Golub Capital BDC, Inc.",n/a,26050253,3ca3e766-7618-4f73-aac0-2e98b03bc214,10,25,Gold,062203227
505,466-259-1144,Nuveen Real Estate Fund,n/a,54725970,2c54ec7f-3f17-47ab-860d-ffcc1e8927c1,12,68,Bronze,125107532
506,828-130-7604,"PrivateBancorp, Inc.",Major Banks,91308933,2237eb89-b10d-4f3e-b63e-18213baf196f,2,481,Silver,061103218
507,682-154-6942,Eaton Vance Enhanced Equity Income Fund II,n/a,89488677,26d82074-14d1-4e6c-b519-d133ab9a4164,12,257,Bronze,122000661
508,463-659-3034,CF Corporation,Business Services,43982050,a06b7f34-1cb9-4851-959d-6cfd19fff851,17,932,Gold,113009464
509,571-747-1703,Managed Duration Investment Grade Municipal Fund,n/a,97413901,aa8def40-1e40-4b9f-a8bf-76e3f548ec8a,3,222,Platinum,111000038
510,794-902-8189,"SandRidge Energy, Inc.",Oil & Gas Production,93343983,990c8eb1-0b40-4d40-8d77-9d268e3fa980,20,830,Gold,072409794
511,159-635-2445,"Kratos Defense & Security Solutions, Inc.",Military/Government/Technical,82921778,1b57dbca-0671-4321-a821-d834953a8235,1,653,Bronze,123171955
512,456-719-5848,"Civitas Solutions, Inc.",Medical/Nursing Services,62156417,91a779ce-f86c-48c1-8c21-87352114be35,13,486,Bronze,121108959
513,437-774-8150,BlackRock New Jersey Municipal Income Trust,n/a,78245364,05e9fc54-7db3-45d2-9369-5257c0107067,7,872,Silver,084301107
514,939-385-1592,"Telephone and Data Systems, Inc.",Telecommunications Equipment,37601007,57a555d7-e936-4bc8-9e0f-8e48221bb143,3,219,Silver,011600868
515,475-737-3288,Nuveen California Municipal Value Fund 2,n/a,7702643,aedf2ce6-e54b-438a-8999-e8816d57346c,15,810,Silver,122241501
516,534-305-3775,"MabVax Therapeutics Holdings, Inc.",Major Pharmaceuticals,85572266,f1395283-1f24-4136-9819-1cd53021e0ce,10,280,Platinum,092901175
517,331-500-0195,"Mobile Mini, Inc.",Metal Fabrications,82237183,418d6548-74d4-411b-941a-86cbc64231ea,6,441,Gold,044205146
518,610-352-0337,Unifirst Corporation,Other Consumer Services,33398929,a5186c0d-46d0-4dfa-8cc2-e8efc2bc1ecd,20,793,Gold,073903749
519,486-348-9210,Visa Inc.,Business Services,13700551,975ff8eb-244e-4619-9be7-531579acf7af,10,448,Silver,091206101
520,268-554-1075,"Nuance Communications, Inc.",Computer Software: Prepackaged Software,18363942,48b5084d-8e71-4be2-a9a0-9ca5acf5a203,13,406,Gold,103109374
521,334-494-6773,Ciena Corporation,Telecommunications Equipment,1746470,cf812cc3-2cbf-4fe2-a0b2-f17f234673c2,16,201,Platinum,042102788
522,106-573-8681,Blackrock Municipal 2018 Term Trust,n/a,75530632,98fd0a3c-3953-4e42-8473-63ce03852e09,15,907,Silver,062201164
523,644-263-9189,"DWS High Income Opportunities Fund, Inc.",n/a,56482062,12c90894-ae6d-493d-a543-c94ac6bd5a7a,4,98,Platinum,111312551
524,853-337-6051,"Argos Therapeutics, Inc.",Major Pharmaceuticals,19370132,2f74f6bc-c08e-4c43-bc5b-7ef1b906ab98,15,389,Silver,264279334
525,312-553-5368,Nuveen S&P 500 Dynamic Overwrite Fund,n/a,37739459,6bb7ab59-be61-42c2-aeac-1def63e356b2,12,254,Bronze,101219279
526,306-248-1074,Principal Price Setters Index ETF,n/a,85903040,d74edaff-12b0-48e7-88fb-78738ad05fe5,16,809,Platinum,062006495
527,374-912-9002,"CorEnergy Infrastructure Trust, Inc.",n/a,35038226,8e9e1145-d976-43c5-8b43-0aa470807d3d,19,149,Gold,026009593
528,550-935-4493,"Forterra, Inc.",Building Materials,69145130,237eb862-1bbe-453d-baf8-ebbaa43305cf,14,951,Bronze,053112152
529,770-562-2806,Materion Corporation,Industrial Specialties,77461708,6ff08425-0d67-4e12-9b59-c8bd3b010117,15,351,Bronze,063113015
530,425-312-7885,Qiagen N.V.,Biotechnology: Biological Products (No Diagnostic Substances),44813530,c935d804-cd37-4da7-9cba-21eea9de3f13,18,976,Silver,056073612
531,517-358-5415,"Entergy Arkansas, Inc.",Electric Utilities: Central,33518882,094838df-a9f0-49e6-a8bc-5b15eaea56e0,3,270,Bronze,074906826
532,812-421-0690,"Aimmune Therapeutics, Inc.",Major Pharmaceuticals,67596057,1317dd11-e510-43f8-a3cb-8b41ecd64edc,14,675,Silver,081909146
533,508-671-1845,"TerraForm Power, Inc.",Electric Utilities: Central,42978889,9f094e97-2cb6-47d1-a438-e49982985869,12,328,Gold,113124035
534,482-555-5967,Quaker Chemical Corporation,Major Chemicals,83245865,fa938e68-3951-4ff3-a908-90e5508f216e,7,532,Platinum,071918286
535,803-960-7794,Zumiez Inc.,Clothing/Shoe/Accessory Stores,6387995,71369c32-1f94-4f36-91b5-f8ea02b53886,1,837,Platinum,084202769
536,898-613-0951,"Safe Bulkers, Inc",n/a,61717475,43437884-4571-4a17-a199-0ae7b6c2b64a,5,323,Silver,091401919
537,736-563-7017,Penn West Petroleum Ltd,Oil & Gas Production,93185050,5c49bbc5-ce12-4024-875d-d60c57a4e327,13,642,Silver,053112136
538,987-425-4901,EMCORE Corporation,Semiconductors,65882603,21b71ae8-1704-492c-b21c-ef88b59f1b7d,3,746,Gold,081017711
539,717-199-0821,Western Digital Corporation,Electronic Components,38327301,a414febb-0544-45d3-820a-4b34f3a9e320,8,137,Gold,062202367
540,550-805-1229,"El Pollo Loco Holdings, Inc.",Restaurants,22203479,d4ddba43-4464-4c90-9c6f-ea5ebdad5577,6,989,Platinum,231375290
541,627-423-8961,U.S. Bancorp,n/a,74240144,a627fa5e-76e8-46a9-b51e-f5395f475517,3,192,Platinum,111907555
542,970-894-7877,First Trust Low Duration Opportunities ETF,n/a,29682497,1d48912b-4141-411e-9441-4489d4943f40,16,833,Platinum,084201621
543,768-625-9930,United Insurance Holdings Corp.,Property-Casualty Insurers,21224550,715cc7f2-a6e0-456b-9812-b71f0af0fcf6,9,607,Silver,075902463
544,160-183-9470,TriplePoint Venture Growth BDC Corp.,n/a,50622513,8be86e6f-cc81-4081-b588-b88de1e68800,18,164,Silver,083901650
545,907-432-4083,Kroger Company (The),Food Chains,27629129,af9d2c8b-fb17-46ea-bb5a-5a1e66d77a55,7,63,Gold,062201397
546,805-786-3010,"Bellerophon Therapeutics, Inc.",Major Pharmaceuticals,66994548,7e96c4dc-3dbf-4ffe-a153-9a8281d44f2a,17,179,Silver,021207196
547,791-987-2933,"Morgan Stanley Asia-Pacific Fund, Inc.",n/a,57426988,30f9f7df-2adc-4d81-8563-b493e7675658,6,111,Platinum,107005319
548,586-675-4086,"Staffing 360 Solutions, Inc.",Professional Services,77387780,3ac67a41-4c6c-4b5e-8b5e-b31453f44197,9,779,Bronze,073914411
549,268-240-1419,Valley National Bancorp,Major Banks,32583392,7d005aef-4e49-4624-a4d6-598d15b4a5fd,14,432,Platinum,053207944
550,682-209-9013,"Camping World Holdings, Inc.",Automotive Aftermarket,74292880,4d87c0eb-c984-4412-a7e6-9ea92c18bf09,16,655,Bronze,063112825
